Digits	SimpleAvg	SimpleMin	SimpleMax	StdAvg	StdMin	StdMax
1	0.030689	0.030319	0.031225	0.031872	0.031355	0.033711
2	0.031743	0.031343	0.033925	0.032368	0.031329	0.034376
3	0.032649	0.032260	0.034750	0.033002	0.032489	0.034792
4	0.033266	0.032921	0.033966	0.033072	0.032004	0.035003
5	0.034347	0.033849	0.036428	0.032464	0.032005	0.034578
6	0.035719	0.035082	0.041951	0.032667	0.032179	0.034210
7	0.036820	0.036182	0.039109	0.032961	0.032520	0.034508
8	0.037898	0.037291	0.038977	0.033082	0.032556	0.037087
9	0.039452	0.039002	0.041398	0.034160	0.033646	0.034893
10	0.040946	0.040271	0.041468	0.033972	0.033477	0.034545
11	0.042418	0.042011	0.044961	0.035188	0.034551	0.038613
12	0.043981	0.043487	0.044592	0.035233	0.034610	0.039999
13	0.045611	0.045024	0.047676	0.036992	0.036454	0.041597
14	0.047001	0.046409	0.048668	0.036883	0.036467	0.038385
15	0.048667	0.048094	0.050098	0.038216	0.037635	0.040984
16	0.049696	0.049248	0.053312	0.037968	0.037464	0.043946
17	0.051410	0.050887	0.053241	0.039556	0.039029	0.040185
18	0.052859	0.052278	0.054528	0.039566	0.038939	0.041916
19	0.054287	0.053719	0.056237	0.040553	0.039957	0.041576
